dataset_group_name,dataset_data_types,organ_type,dataset_status
California Institute of Technology TMC,ATAC-seq,lung (right),Published
California Institute of Technology TMC,sc/snRNA-seq,heart,Published
California Institute of Technology TMC,ATAC-seq,heart,QA
California Institute of Technology TMC,sc/snRNA-seq,heart,New
Vanderbilt TMC,Histology,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (right),QA
Vanderbilt TMC,MS-Spatial,kidney (right),QA
Vanderbilt TMC,Histology,kidney (right),Published
Vanderbilt TMC,AF,kidney (right),Published
Vanderbilt TMC,Histology,kidney (right),Published
Vanderbilt TMC,Histology,kidney (right),Published
Vanderbilt TMC,Histology,kidney (right),Published
Vanderbilt TMC,MS-Spatial,kidney (left),QA
Vanderbilt TMC,MS-Spatial,kidney (left),QA
Vanderbilt TMC,Histology,kidney (left),Published
Vanderbilt TMC,AF,kidney (left),Published
University of California San Diego TMC,FISH,kidney (left),New
University of California San Diego TMC,FISH,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),Published
University of California San Diego TMC,sc/snRNA-seq,kidney (left),Published
University of California San Diego TMC,sc/snRNA-seq,kidney (left),Published
University of California San Diego TMC,sc/snRNA-seq,kidney (left),Published
University of California San Diego TMC,sc/snRNA-seq,kidney (left),Published
University of Florida TMC,CODEX,thymus,Published
University of Florida TMC,CODEX,thymus,Published
University of Florida TMC,CODEX,lymph node,Published
University of Florida TMC,CODEX,spleen,Published
University of Florida TMC,RNA-seq,spleen,Published
University of Florida TMC,RNA-seq,spleen,Published
University of Florida TMC,CODEX,spleen,Published
University of Florida TMC,CODEX,thymus,Published
University of Florida TMC,CODEX,thymus,Published
University of Florida TMC,CODEX,lymph node,Published
University of Florida TMC,RNA-seq,lymph node,Published
University of Florida TMC,RNA-seq,lymph node,Published
University of Florida TMC,CODEX,lymph node,Published
University of Florida TMC,Other-MxIF,lymph node,Published
University of Florida TMC,CODEX,spleen,Published
University of Florida TMC,RNA-seq,spleen,Published
University of Florida TMC,RNA-seq,spleen,Published
University of Florida TMC,CODEX,spleen,Published
University of Florida TMC,Other-MxIF,spleen,Published
University of Florida TMC,CODEX,thymus,Published
University of Florida TMC,CODEX,thymus,Published
University of Florida TMC,RNA-seq,spleen,Published
University of Florida TMC,RNA-seq,spleen,Published
University of Florida TMC,CODEX,spleen,Published
University of Florida TMC,CODEX,spleen,Published
University of Florida TMC,CODEX,lymph node,Published
University of Florida TMC,CODEX,lymph node,Published
University of Florida TMC,CODEX,lymph node,Published
University of Florida TMC,CODEX,lymph node,Published
University of Florida TMC,CODEX,lymph node,Published
University of Florida TMC,CODEX,lymph node,Published
Broad Institute RTI,RNA-spatial,kidney (right),Invalid
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
Broad Institute RTI,RNA-spatial,kidney (right),Published
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (left),New
University of California San Diego TMC,sc/snRNA-seq,lung (left),New
University of California San Diego TMC,sc/snRNA-seq,lung (left),New
University of California San Diego TMC,sc/snRNA-seq,lung (left),New
University of California San Diego TMC,sc/snRNA-seq,lung (left),New
University of California San Diego TMC,sc/snRNA-seq,lung (left),New
University of California San Diego TMC,sc/snRNA-seq,lung (left),New
University of California San Diego TMC,sc/snRNA-seq,lung (left),New
University of California San Diego TMC,sc/snRNA-seq,lung (left),New
University of California San Diego TMC,sc/snRNA-seq,lung (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
TMC - Children's Hospital of Philadelphia,"Multiome (RNA, ATAC)",heart,New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,lung (right),New
University of California San Diego TMC,sc/snRNA-seq,bladder,New
University of California San Diego TMC,sc/snRNA-seq,bladder,New
University of California San Diego TMC,sc/snRNA-seq,bladder,New
University of California San Diego TMC,sc/snRNA-seq,bladder,New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (left),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
University of California San Diego TMC,sc/snRNA-seq,kidney (right),New
California Institute of Technology TMC,FISH,spleen,New
